ao_concept_id,synset_id,arabic_words,has_hypernym
52167,awn3-15322168-u,ضِد التآكل|مُقأوِم للصدأ|مُقأوِم لِلْحت الْكيميائي,False
52168,awn3-15322169-u,مُفْرِطٌ|زَائِدٌ,False
52177,awn3-15322170-u,بَشَّعَ,False
52185,awn3-15322171-u,مَصَرَ,False
52186,awn3-15322172-u,تَعَرَّضَ إلى|تَعَرَّضَ ل,False
52189,awn3-15322173-u,كَاسِرٌ,False
52191,awn3-15322174-u,غَلْصَمَةٌ|قَصَبَةٌ,False
52192,awn3-15322175-u,فِدْيَةٌ|فِدَاءٌ,False
52200,awn3-15322176-u,مَلَاوٍ,False
52206,awn3-15322177-u,مصْل الدم|بلازما الدم|هيولي دموية,False
52210,awn3-15322178-u,وَطِيءٌ|وَطِئَ|غَوْرٌ,False
52211,awn3-15322179-u,غَريبٌ|عَجِيبٌ|نادِرٌ,False
52214,awn3-15322180-u,كَبَسَ1|كَبَسَ1 على,False
52216,awn3-15322181-u,إِهْلِيلَجِيٌّ|بَيْضِيٌّ|بَيْضَوِيٌّ,False
52217,awn3-15322182-u,تَحْرِيجٌ,False
52221,awn3-15322183-u,حَرَجَةٌ|جَنْبَةٌ قَزَمَة|شَجرة قَزَمَة,False
52223,awn3-15322184-u,لا يُدرَك لِصِغَرِه|لا يُدرَك لِضَعفِه|دُون الشُّعور الواعي,False
52229,awn3-15322185-u,حَرْشَفِيٌّ|قِشْرِيٌّ|لِحَائِيٌّ,False
52230,awn3-15322186-u,تَوَافُقِيٌّ|مُتَوَافِقٌ|مُنْسَجِمٌ,False
52234,awn3-15322187-u,للإعادة|مرةً اخرى|مُكَرَّراً,False
52235,awn3-15322188-u,فُرَادَىً|فُرَادٌ,False
52238,awn3-15322189-u,سِلك الانسياق|كَبل القَطْر|كَبلُ السَّحب,False
